iteration,timestamp,current_simulations,games_per_iteration,win_rate_vs_heuristic,best_win_rate_so_far
5,2025-12-04T11:22:05.301178,50,50,0.0,0.0
10,2025-12-04T11:35:43.094452,50,50,0.0,0.0
15,2025-12-04T12:03:22.896837,100,50,0.0,0.0
20,2025-12-04T12:31:11.294128,100,50,0.0,0.0
25,2025-12-04T12:58:16.744991,100,50,0.0,0.0
30,2025-12-04T13:26:14.763927,100,50,0.0,0.0
35,2025-12-04T13:53:26.319971,100,50,0.0,0.0
40,2025-12-04T14:21:36.680320,100,50,0.0,0.0
45,2025-12-04T14:48:56.008399,100,50,0.0,0.0
50,2025-12-04T15:15:53.947377,100,50,0.0,0.0
55,2025-12-04T15:42:17.511165,100,50,0.0,0.0
60,2025-12-04T16:10:02.393817,100,50,0.0,0.0
5,2025-12-04T16:27:38.264614,50,50,0.0,0.0
10,2025-12-04T16:34:58.161531,50,50,0.0,0.0
5,2025-12-04T16:37:49.271359,50,50,0.0,0.0
10,2025-12-04T16:40:07.917012,50,50,0.0,0.0
15,2025-12-04T16:44:11.966267,100,50,0.0,0.0
20,2025-12-04T16:48:16.580732,100,50,0.0,0.0
25,2025-12-04T16:52:24.686084,100,50,0.0,0.0
30,2025-12-04T16:56:31.387124,100,50,0.0,0.0
35,2025-12-04T17:00:39.927942,100,50,0.0,0.0
40,2025-12-04T17:04:46.562565,100,50,0.0,0.0
45,2025-12-04T17:08:49.051177,100,50,0.0,0.0
50,2025-12-04T17:12:56.184669,100,50,0.0,0.0
55,2025-12-04T17:16:59.495213,100,50,0.0,0.0
60,2025-12-04T17:21:01.353887,100,50,0.0,0.0
65,2025-12-04T17:25:04.100730,100,50,0.0,0.0
70,2025-12-04T17:29:09.068304,100,50,0.0,0.0
75,2025-12-04T17:33:15.724404,100,50,0.0,0.0
80,2025-12-04T17:37:17.187574,100,50,0.0,0.0
85,2025-12-04T17:41:18.966973,100,50,0.0,0.0
90,2025-12-04T17:45:27.317911,100,50,0.0,0.0
95,2025-12-04T17:49:29.716425,100,50,0.0,0.0
100,2025-12-04T17:53:39.557015,100,50,0.0,0.0
105,2025-12-04T17:57:47.786551,100,50,0.0,0.0
110,2025-12-04T18:01:50.076798,100,50,0.0,0.0
115,2025-12-04T18:05:57.526021,100,50,0.0,0.0
120,2025-12-04T18:10:01.559635,100,50,0.0,0.0
125,2025-12-04T18:14:08.797437,100,50,0.0,0.0
130,2025-12-04T18:18:08.676956,100,50,0.0,0.0
135,2025-12-04T18:22:10.979102,100,50,0.0,0.0
5,2025-12-04T18:36:32.457483,50,50,0.0,0.0
10,2025-12-04T18:38:53.043034,50,50,0.0,0.0
5,2025-12-04T18:54:46.641695,50,50,0.0,0.0
10,2025-12-04T19:10:14.383919,50,50,0.0,0.0
15,2025-12-04T19:39:35.255505,100,50,0.0,0.0
20,2025-12-04T20:10:11.949241,100,50,0.0,0.0
25,2025-12-04T21:03:34.163432,100,50,0.0,0.0
30,2025-12-04T21:59:23.878901,100,50,0.0,0.0
35,2025-12-04T22:07:14.519389,100,50,0.0,0.0
40,2025-12-04T22:15:22.240915,100,50,0.0,0.0
45,2025-12-04T22:23:43.679132,100,50,0.0,0.0
50,2025-12-04T22:29:51.267283,100,50,0.0,0.0
55,2025-12-04T22:34:46.622210,100,50,0.0,0.0
60,2025-12-04T22:39:25.313141,100,50,0.0,0.0
65,2025-12-04T22:44:01.461580,100,50,0.0,0.0
70,2025-12-04T22:48:43.993675,100,50,0.0,0.0
75,2025-12-04T22:53:22.485906,100,50,0.0,0.0
